season,outdoor_games,cold_games_x,high_wind_games,over_pct_outdoor,avg_total_outdoor,avg_total_line_outdoor,cold_games_y,cold_over_pct,cold_avg_total,cold_avg_total_line,wind_games,wind_over_pct,wind_avg_total,wind_avg_total_line
2023,199,21,8,0.4472361809045226,42.57788944723618,42.42964824120603,21,0.47619047619047616,40.95238095238095,40.80952380952381,8,0.375,39.875,44.625
2024,187,33,10,0.5454545454545454,45.26737967914438,43.8235294117647,33,0.5454545454545454,45.54545454545455,43.78787878787879,10,0.5,42.1,41.6
2025,193,38,16,0.5284974093264249,45.50777202072539,44.629533678756474,38,0.5,42.89473684210526,44.1578947368421,16,0.5625,45.5,41.8125
